time,level,event,username,session_id,extra
2025-11-10 12:41:17,WARNING,Неверный пароль,admin,-,-
2025-11-10 12:41:17,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 12:41:17,INFO,Открыта форма входа,-,-,-
2025-11-10 12:41:23,INFO,Открыта страница входа,-,-,-
2025-11-10 12:41:23,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 12:41:23,INFO,Открыта форма входа,-,-,-
2025-11-10 12:41:25,WARNING,Неверный пароль,admin,-,-
2025-11-10 12:41:25,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 12:41:25,INFO,Открыта форма входа,-,-,-
2025-11-10 12:41:27,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 12:41:27,INFO,Открыта форма входа,-,-,-
2025-11-10 12:41:27,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 12:41:27,INFO,Открыта форма входа,-,-,-
2025-11-10 12:41:33,INFO,Открыта страница входа,-,-,-
2025-11-10 12:41:33,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 12:41:33,INFO,Открыта форма входа,-,-,-
2025-11-10 12:41:35,WARNING,Неверный пароль,admin,-,-
2025-11-10 12:41:35,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 12:41:35,INFO,Открыта форма входа,-,-,-
2025-11-10 12:41:41,INFO,Открыта страница входа,-,-,-
2025-11-10 12:41:41,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 12:41:41,INFO,Открыта форма входа,-,-,-
2025-11-10 12:41:43,WARNING,Неверный пароль,admin,-,-
2025-11-10 12:41:43,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 12:41:43,INFO,Открыта форма входа,-,-,-
2025-11-10 12:44:55,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 12:44:55,INFO,Открыта форма входа,-,-,-
2025-11-10 12:44:55,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 12:44:55,INFO,Открыта форма входа,-,-,-
